session,acquisition,status
20090331x0933,localizer,deleted
20090331x0933,MoCoSeries,deleted
20090331x0933,DTI_30dir_noDiCo_vox2_1000,deleted
20090331x0933,t2_tse_tra,deleted
20090331x0933,MoCoSeries,deleted
20090331x0933,DTI_30dir_noDiCo_vox2_1000,deleted
20090331x0933,t2_tse_tra8CHANNEL,deleted
20090331x0933,MoCoSeries,deleted
20090304x1208,localizer,deleted
20090304x1208,t2_tse_tra,deleted
20090304x1208,ep2d_bold_restingZE6min,deleted
20090304x1208,DTI_30dir_noDiCo_vox2_1000,deleted
20090304x1208,MoCoSeries,deleted
20090304x1208,MoCoSeries,deleted
20090304x1208,MoCoSeries,deleted
20090304x1208,DTI_30dir_noDiCo_vox2_1000,deleted
20090304x1208,ep2d_fairest_UI_M0,deleted
20090304x1208,t2_tse_tra8CHANNEL,deleted
20090304x1208,MoCoSeries,deleted
20090304x1208,MoCoSeries,deleted
20090304x1208,DTI_30dir_noDiCo_vox2_1000,deleted
20090304x1208,ep2d_fairest_UI_1500ms,deleted
20090304x1208,ep2d_bold_restingZE6min,deleted
20090331x0933,csi_se_30,deleted
20060607x1336,ep2d_casl_UI_1500ms,deleted
20060607x1336,t2_tse_tra,deleted
113066x02x20210427x3T,SpinEchoFieldMap_PA,deleted
20060726x1128,t1_se_sag,deleted
20060726x1128,t2_tse_tra,deleted
20060726x1128,pd_tse_tra,deleted
20050705x1118,MoCoSeries,deleted
20050705x1118,ep2d_pace_max_1,deleted
20050705x1118,ep2d_pace_max_205,deleted
20050705x1118,localizer,deleted
20050705x1118,ep2d_pace_max_165,deleted
20050705x1118,MoCoSeries,deleted
20050705x1118,MoCoSeries,deleted
20080108x1018,DTI_30dir_noDiCo_vox2_1000,deleted
20080108x1018,localizer,deleted
20080108x1018,DTI_30dir_noDiCo_vox2_1000,deleted
20080108x1018,ep2d_fairest_UI_1500ms,deleted
20080108x1018,ep2d_fairest_UI_M0,deleted
20060607x1336,ep2d_diff_MDDW_12,deleted
20080108x1018,csi_se_30,deleted
20080108x1018,localizer,deleted
20080108x1018,csi_se_30_unsup,deleted
20080108x1018,MoCoSeries,deleted
20080108x1018,DTI_30dir_noDiCo_vox2_1000,deleted
20080108x1018,MoCoSeries,deleted
20080108x1018,MoCoSeries,deleted
20080108x1018,MoCoSeries,deleted
20080108x1018,MoCoSeries,deleted
20060607x1336,t1_se_sag,deleted
20060607x1336,fieldmap_GRE,deleted
20060607x1336,ep2d_casl_UI_1500ms,deleted
20060607x1336,localizer,deleted
20060607x1336,pd_tse_tra,deleted
20111220x1256,DTI_34dir,deleted
20111220x1256,ep2d_se_pcasl_PHC_1500ms,deleted
20170810x1221,long DTI P-A_TENSOR,deleted
20160121x1259,DTI_34dir,deleted
20160121x1259,b0map_v4,deleted
20160121x1259,DTI_34dir,deleted
20160121x1259,localizer,deleted
20160121x1259,DTI_34dir,deleted
20160121x1259,Resting_bold_124,deleted
20160121x1259,t2_tse_tra8CHANNEL,deleted
20151007x1556,MoCoSeries,deleted
20111220x1256,t2_tse_obl_448_2mm,deleted
20151007x1556,localizer,deleted
20151007x1556,b0map_v4,deleted
20151007x1556,ep2d_se_pcasl_PHC_1500ms,deleted
20151007x1556,DTI_34dir,deleted
20151007x1556,Resting_bold_124,deleted
